area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name
Super built-up  Area,Ready To Move,sarjapur,2 BHK,,913,2,1,32,Outside BBMP Zones
Super built-up  Area,21-Dec,talaghattapura,3 BHK,Sodgere,1868,3,2,131,South Zone
Built-up  Area,Ready To Move,kengeri satellite town,2 BHK,,883,2,1,45,Rajarajeshwari Nagar Zone
Plot  Area,Ready To Move,sundara nagar,2 Bedroom,,900,2,1,110,Unknown
Super built-up  Area,Ready To Move,kogilu,3 BHK,,1664,2,3,73.95,Yelahanka Zone
Super built-up  Area,Ready To Move,hegde nagar,3 BHK,SoitaCa,2026,3,2,132,Yelahanka Zone
Super built-up  Area,Ready To Move,balagere,2 BHK,Soestin,1210,2,1,80.9,Mahadevapura Zone
Plot  Area,Ready To Move,meenakunte,4 Bedroom,Sreat R,4111,4,2,250,Outside BBMP Zones
Super built-up  Area,Ready To Move,kadugodi,3 BHK,Alestrb,1762,3,3,91.45,Mahadevapura Zone
Super built-up  Area,Ready To Move,jigani,3 BHK,DLhtsen,1252,3,3,55,Outside BBMP Zones
Built-up  Area,Ready To Move,gollarapalya hosahalli,2 BHK,Mauner,861,2,1,34.5,West Zone
Built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Brnia G,1420,2,1,100,Unknown
Plot  Area,Ready To Move,srirampura,6 Bedroom,,1450,6,0,250,West Zone
Built-up  Area,Ready To Move,electronics city phase 1,3 BHK,GaicaVe,1490,3,1,78.8,Unknown
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,,1075,2,1,46,Outside BBMP Zones
Super built-up  Area,18-Aug,old madras road,3 BHK,Saesttt,1425,2,2,94,East Zone
Built-up  Area,Ready To Move,kalena agrahara,2 BHK,Nae 2El,1200,2,1,40,Bommanahalli Zone
Super built-up  Area,Ready To Move,kaggadasapura,3 BHK,,1280,2,2,56,Mahadevapura Zone
Super built-up  Area,Ready To Move,silver springs layout,2 BHK,Bhinglv,1084,2,2,50,Outside BBMP Zones
Super built-up  Area,18-Jul,chandapura,2 BHK,SunceEs,1015,2,2,25.88,Outside BBMP Zones
Super built-up  Area,21-May,kanakpura road,2 BHK,GolusLi,1017,2,1,51.25,South Zone
Super built-up  Area,Ready To Move,haralur road,2 BHK,,1027,2,2,44,Bommanahalli Zone
Super built-up  Area,Ready To Move,electronic city phase ii,2 BHK,Coush W,1069,2,2,45,Bommanahalli Zone
Super built-up  Area,Ready To Move,hebbal,2 BHK,Prersis,1349,2,1,98.2,Yelahanka Zone
Super built-up  Area,Ready To Move,9th phase jp nagar,2 BHK,NaensGa,1005,2,1,50,Unknown
Super built-up  Area,Ready To Move,jakkur,2 BHK,Arzzo P,1417,2,3,75,Yelahanka Zone
Plot  Area,18-Jan,tc palaya,3 Bedroom,,1475,3,1,98,Mahadevapura Zone
Carpet  Area,Ready To Move,maruthi sevanagar,2 BHK,SMikaay,950,2,2,47,East Zone
Super built-up  Area,Ready To Move,rmv 2nd stage,4 BHK,Prave E,2000,4,0,120,Unknown
Plot  Area,Ready To Move,giri nagar,3 Bedroom,,880,3,1,140,South Zone
Super built-up  Area,Ready To Move,sarjapur road,4 BHK,Ahriaup,1863,3,2,104,Bommanahalli Zone
Super built-up  Area,Ready To Move,singasandra,2 BHK,Priewhi,1010,2,1,29.5,Bommanahalli Zone
Super built-up  Area,Ready To Move,kalena agrahara,3 BHK,Shodsth,1425,2,1,70,Bommanahalli Zone
Super built-up  Area,Ready To Move,vijayanagar,3 BHK,Swadeh,1450,3,0,100,West Zone
Super built-up  Area,Ready To Move,kothanur,3 BHK,Somumys,1847,3,2,105,Yelahanka Zone
Super built-up  Area,Ready To Move,aecs layout,2 BHK,Soran U,1100,2,3,45,Mahadevapura Zone
Super built-up  Area,20-Dec,kanakpura road,1 BHK,PrarePa,525,1,1,26,South Zone
Super built-up  Area,Ready To Move,mallasandra,3 BHK,Puestig,1665,3,2,95,Dasarahalli Zone
Super built-up  Area,Ready To Move,begur,4 BHK,Prntsrt,1664,4,3,65,Bommanahalli Zone
Super built-up  Area,Ready To Move,jp nagar,3 BHK,Maerar,1850,3,3,150,South Zone
Super built-up  Area,Ready To Move,panathur,2 BHK,Vaesh T,1438,2,3,100,Mahadevapura Zone
Super built-up  Area,Ready To Move,sunder ram shetty nagar,3 BHK,MaisePa,1560,3,3,115,South Zone
Super built-up  Area,18-Apr,yelahanka,2 BHK,,1350,2,1,55.55,Yelahanka Zone
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,JRrnauv,1550,3,3,67,South Zone
Super built-up  Area,18-Apr,malleshpalya,2 BHK,,1140,2,2,46.5,Mahadevapura Zone
Plot  Area,Ready To Move,srirampura,5 Bedroom,,1200,5,2,180,West Zone
Super built-up  Area,18-Dec,kodathi,2 BHK,,850,2,2,27,Mahadevapura Zone
Super built-up  Area,Ready To Move,whitefield,2 BHK,Gotis A,1280,2,2,75,Mahadevapura Zone
Built-up  Area,Ready To Move,munnekollal,2 BHK,,1170,2,2,52,Mahadevapura Zone
Super built-up  Area,Ready To Move,motappa layout,2 BHK,Puodse,1113,2,1,51,Outside BBMP Zones
Super built-up  Area,Ready To Move,hennur road,2 BHK,Mileeou,1385,2,1,83.09,Yelahanka Zone
Super built-up  Area,18-Apr,electronic city,2 BHK,Prarkun,1128,2,1,65,Bommanahalli Zone
Plot  Area,Ready To Move,marathahalli,2 Bedroom,,1200,2,2,128,Mahadevapura Zone
Plot  Area,Ready To Move,akshaya vana,4 Bedroom,,1200,4,3,165,Bommanahalli Zone
Super built-up  Area,Ready To Move,rajaji nagar,3 BHK,PhestOn,2390,3,2,415,West Zone
Plot  Area,Ready To Move,giri nagar,4 Bedroom,,2400,4,1,400,South Zone
Super built-up  Area,Ready To Move,haralur road,3 BHK,NRowse,1464,3,2,56,Bommanahalli Zone
Super built-up  Area,Ready To Move,manayata tech park,2 BHK,,1200,2,2,55,Yelahanka Zone
Super built-up  Area,Ready To Move,kaval byrasandra,2 BHK,Abncy R,1200,2,2,52,East Zone
Super built-up  Area,Ready To Move,kaggalipura,3 BHK,Baowsig,1150,2,1,55,Outside BBMP Zones
Built-up  Area,Ready To Move,basavanna nagar,3 BHK,Itala A,1645,3,2,95,Mahadevapura Zone
Super built-up  Area,20-Mar,sarjapur road,2 BHK,,1000,2,1,67,Bommanahalli Zone
Plot  Area,Ready To Move,haralur road,4 Bedroom,,2650,4,2,198,Bommanahalli Zone
Super built-up  Area,Ready To Move,6th phase jp nagar,2 BHK,HMinebo,1192,2,2,74,Unknown
Super built-up  Area,Ready To Move,ulsoor,3 BHK,K borja,2135,3,2,215,East Zone
Super built-up  Area,19-Dec,whitefield,2 BHK,Oreldhi,1173,2,1,58,Mahadevapura Zone
Built-up  Area,Ready To Move,uttarahalli,2 BHK,Sungspr,1020,2,2,45,South Zone
Super built-up  Area,Ready To Move,thigalarapalya,4 BHK,Prtanha,3122,6,2,230,Mahadevapura Zone
Super built-up  Area,Ready To Move,somasundara palya,3 BHK,,1600,3,3,64,Bommanahalli Zone
Plot  Area,18-Mar,t.c palya,2 Bedroom,,1200,2,0,79,Mahadevapura Zone
Carpet  Area,Ready To Move,muneshwara nagar,2 BHK,,1230,2,3,48,East Zone
Super built-up  Area,Ready To Move,devarachikkanahalli,2 BHK,Clntsrt,1250,2,2,40,Bommanahalli Zone
Super built-up  Area,Ready To Move,kalena agrahara,2 BHK,PuamaPa,1325,2,2,76,Bommanahalli Zone
Built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Brngsal,1850,3,1,150,Unknown
Super built-up  Area,21-Dec,kanakpura road,1 BHK,PrarePa,525,,,21.53,South Zone
Super built-up  Area,Ready To Move,basaveshwara nagar,2 BHK,,1200,2,2,65,West Zone
Plot  Area,Ready To Move,bull temple road,3 Bedroom,,1350,2,0,140,South Zone
Super built-up  Area,18-Jun,bommasandra,3 BHK,SSestth,1260,3,1,49.36,Outside BBMP Zones
Super built-up  Area,Ready To Move,prashanth nagar,3 BHK,Vancy R,1800,3,0,150,West Zone
Plot  Area,18-Dec,suragajakkanahalli,3 Bedroom,PrhyaK,11,3,2,74,Outside BBMP Zones
Built-up  Area,Ready To Move,ardendale,2 BHK,Miwel M,1100,2,1,43.25,Outside BBMP Zones
Super built-up  Area,Ready To Move,harlur,2 BHK,SrEndPo,1508,2,1,77,Bommanahalli Zone
Carpet  Area,Ready To Move,sampigehalli,3 BHK,Puens G,1592,3,2,75,Yelahanka Zone
Super built-up  Area,Ready To Move,akshaya nagar,2 BHK,SagasSa,1388,2,3,57,Bommanahalli Zone
Super built-up  Area,18-May,electronic city phase ii,1 BHK,SNbay G,630,1,1,28.35,Bommanahalli Zone
Plot  Area,Ready To Move,rmv,3 Bedroom,,2000,3,2,365,West Zone
Super built-up  Area,Ready To Move,banashankari3rd stage bigbazar,3 BHK,,1762,3,1,125,Unknown
Super built-up  Area,21-Dec,bagalur main road,2 BHK,,950,2,2,50,Yelahanka Zone
Super built-up  Area,Ready To Move,kodihalli,4 BHK,Soianal,3252,5,3,335,East Zone
Super built-up  Area,18-Aug,magadi road,2 BHK,Vrenty,1116,2,1,50,West Zone
Super built-up  Area,Ready To Move,narayanapura,2 BHK,AriosHe,1308,2,2,89.04,Yelahanka Zone
Super built-up  Area,Ready To Move,ms pallya,3 BHK,,1200,3,0,90,Yelahanka Zone
Plot  Area,Ready To Move,binny mills employees colony,4 Bedroom,,1500,4,2,230,West Zone
Built-up  Area,Ready To Move,bannerghatta road,1 BHK,,500,1,1,18.5,South Zone
Super built-up  Area,Ready To Move,hennur,2 BHK,SLureSi,1075,2,1,52,Yelahanka Zone
Super built-up  Area,18-Mar,chandapura,1 BHK,Siissi,530,1,0,11.66,Outside BBMP Zones
Built-up  Area,Ready To Move,bellandur,2 BHK,,1205,2,3,66,Mahadevapura Zone
Super built-up  Area,Ready To Move,5th phase jp nagar,2 BHK,Mangsr,1075,2,2,60,Unknown
Built-up  Area,Ready To Move,kr puram,2 BHK,HovasTe,930,2,2,39,Mahadevapura Zone
Super built-up  Area,Ready To Move,balagere,2 BHK,Exncene,1380,2,1,60,Mahadevapura Zone
Super built-up  Area,Ready To Move,hebbal,4 BHK,Prersis,2483,5,2,212,Yelahanka Zone
Built-up  Area,Ready To Move,kodigehaali,2 BHK,Shyas S,1166,2,2,55,Yelahanka Zone
Super built-up  Area,Ready To Move,bannerghatta road,2 BHK,NadelCi,1050,2,1,65,South Zone
Super built-up  Area,19-Mar,gopalapura,3 BHK,Sothadr,2023.71,3,2,275,West Zone
Super built-up  Area,Ready To Move,begur road,2 BHK,Dhalsh,1200,2,2,46.8,Bommanahalli Zone
Super built-up  Area,Ready To Move,lakshminarayana pura,3 BHK,Puarent,1600,2,1,108,West Zone
Super built-up  Area,Ready To Move,billekahalli,3 BHK,MaionPa,1935,3,2,110,Bommanahalli Zone
Super built-up  Area,18-May,8th phase jp nagar,1 BHK,Maian M,451,1,0,29.9,Unknown
Super built-up  Area,Ready To Move,electronic city,3 BHK,ShstaAl,1800,3,2,95,Bommanahalli Zone
Super built-up  Area,18-May,jalahalli,3 BHK,Shard T,1400,3,0,77,Dasarahalli Zone
Super built-up  Area,Ready To Move,hegde nagar,3 BHK,SoitaCa,1801,3,2,115,Yelahanka Zone
Built-up  Area,Ready To Move,mahadevpura,2 BHK,Neagar,1451,2,,90,Mahadevapura Zone
Plot  Area,19-Jan,anekal,2 Bedroom,,1200,1,1,36,Outside BBMP Zones
Super built-up  Area,Ready To Move,begur road,2 BHK,Dhalsh,1160,2,2,44,Bommanahalli Zone
Built-up  Area,Ready To Move,kengeri,2 BHK,,1000,2,1,25,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,kanakpura road,2 BHK,Wiowsri,950,2,1,40,South Zone
Built-up  Area,20-Dec,hoodi circle,3 BHK,,1629,3,2,79,Mahadevapura Zone
Built-up  Area,Ready To Move,vijayanagar,3 BHK,,1580,2,0,134,West Zone
Super built-up  Area,21-Jun,vijayanagar,3 BHK,Saityat,1826,3,2,121,West Zone
Built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,Eladero,1245,2,1,94,Unknown
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,Lancyey,1145,2,2,45.79,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,sompura,2 BHK,Suiseit,825,2,1,33,Outside BBMP Zones
Super built-up  Area,18-Aug,yeshwanthpur,3 BHK,Aroomba,1693,3,3,108,Dasarahalli Zone
Super built-up  Area,Ready To Move,electronics city phase 1,2 BHK,Courf T,1113.27,2,2,53,Unknown
Built-up  Area,Ready To Move,ashirvad colony,2 BHK,VMowsea,1460,2,1,58,Outside BBMP Zones
Built-up  Area,Ready To Move,doddathoguru,2 BHK,S onsMa,1050,2,1,32,Bommanahalli Zone
Built-up  Area,Ready To Move,dodda nekkundi,2 BHK,Tuentpa,1260,2,2,55,Mahadevapura Zone
Super built-up  Area,Ready To Move,k n extension,6 BHK,,700,3,,120,Unknown
Built-up  Area,Ready To Move,hosur road,2 BHK,Tovesee,1656,2,1,120,Bommanahalli Zone
Super built-up  Area,Ready To Move,chandapura,3 BHK,Vailsaf,1208,3,1,45,Outside BBMP Zones
Super built-up  Area,Ready To Move,whitefield,3 BHK,BrlisCo,1910,3,2,161,Mahadevapura Zone
Super built-up  Area,Ready To Move,whitefield,4 BHK,Haestt,3252,4,1,230,Mahadevapura Zone
Plot  Area,Ready To Move,battarahalli,2 Bedroom,,1200,2,1,65,Mahadevapura Zone
Super built-up  Area,Ready To Move,gokula extension,4 BHK,,1200,4,1,175,West Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,BriumMi,1175,2,1,82,Unknown
Plot  Area,Ready To Move,kamakshipalya,2 Bedroom,,1000,2,0,165,West Zone
Plot  Area,Ready To Move,bannerghatta road,4 Bedroom,,1200,2,0,125,South Zone
Super built-up  Area,Ready To Move,rajaji nagar,3 BHK,PhestOn,2390,3,2,410,West Zone
Super built-up  Area,19-Jan,rajaji nagar,7 BHK,,12000,6,3,2200,West Zone
Plot  Area,Ready To Move,sultan palaya,2 Bedroom,,550,1,1,62,Yelahanka Zone
Super built-up  Area,Ready To Move,kengeri,1 BHK,,34.46Sq. Meter,1,0,18.5,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,sanne amanikere,2 BHK,Hoxiaa,1185,2,,38,Outside BBMP Zones
Super built-up  Area,Ready To Move,kengeri,2 BHK,VBvenal,750,2,1,38,Rajarajeshwari Nagar Zone
Plot  Area,Ready To Move,mahalakshmi layout,6 Bedroom,,1200,7,3,250,West Zone
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,JRrnauv,1550,3,3,64.5,South Zone
Built-up  Area,Ready To Move,amco colony,3 BHK,Hoeatan,1760,3,2,88,Yelahanka Zone
Super built-up  Area,Ready To Move,billekahalli,2 BHK,Asity S,1125,2,2,62,Bommanahalli Zone
Plot  Area,Ready To Move,nagarbhavi,3 Bedroom,,1350,3,2,150,West Zone
Plot  Area,17-Dec,anandapura,2 Bedroom,,1000,2,1,55,East Zone
Built-up  Area,18-Aug,bommasandra industrial area,2 BHK,,1090,2,2,31.48,Outside BBMP Zones
Plot  Area,Ready To Move,tc palaya,2 Bedroom,,1200,2,0,60,Mahadevapura Zone
Super built-up  Area,Ready To Move,budigere,3 BHK,PrityTr,1991,4,2,103,Outside BBMP Zones
Super built-up  Area,18-Oct,bommasandra,2 BHK,DSoodil,1060,2,1,26.5,Outside BBMP Zones
Super built-up  Area,Ready To Move,ambalipura,2 BHK,SJarkte,1105,2,1,75,Mahadevapura Zone
Built-up  Area,Ready To Move,hoodi,2 BHK,Dhgraas,985,2,2,67,Mahadevapura Zone
Plot  Area,Ready To Move,chandapura,6 Bedroom,,1533,5,3,85,Outside BBMP Zones
Super built-up  Area,17-Jul,balagere,3 BHK,HiqueMa,1590,3,2,79,Mahadevapura Zone
Super built-up  Area,Ready To Move,cv raman nagar,2 BHK,Srshq T,1120,2,2,55,East Zone
Super built-up  Area,Ready To Move,samethanahalli,2 BHK,SPontna,1069,2,1,55,Mahadevapura Zone
Super built-up  Area,Ready To Move,marathahalli,3 BHK,Prionad,1933,3,2,140,Mahadevapura Zone
Built-up  Area,16-Mar,hosur road,2 BHK,PuendWe,1194,2,0,69,Bommanahalli Zone
Super built-up  Area,Ready To Move,brookefield,2 BHK,Danna S,1150,2,3,69,Mahadevapura Zone
Super built-up  Area,Ready To Move,yelenahalli,2 BHK,,1240,2,2,47.12,Bommanahalli Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,GrrvaGr,1419,2,2,48.1,Rajarajeshwari Nagar Zone
Plot  Area,Ready To Move,7th phase jp nagar,8 Bedroom,,1200,8,,250,Unknown
Super built-up  Area,Ready To Move,richmond town,3 BHK,Bltonin,2150,4,,240,East Zone
Super built-up  Area,Ready To Move,suddaguntepalya,3 BHK,MSanaer,1450,3,2,55,South Zone
Super built-up  Area,18-Jul,udayapur village,3 BHK,Plowsri,1630,3,2,68.29,Bommanahalli Zone
Super built-up  Area,Ready To Move,dasanapura,2 BHK,Tavenew,708,1,1,40,Dasarahalli Zone
Plot  Area,Ready To Move,kasavanhalli,3 Bedroom,,1000,4,3,110,Mahadevapura Zone
Plot  Area,Ready To Move,whitefield,4 Bedroom,,11890,4,3,700,Mahadevapura Zone
Super built-up  Area,Ready To Move,bellandur,2 BHK,Ocavees,1250,2,1,76,Mahadevapura Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Brnia G,1400,2,1,95,Unknown
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,,1670,2,3,57,Bommanahalli Zone
Super built-up  Area,Ready To Move,ardendale,3 BHK,SoystAm,1750,3,2,100,Outside BBMP Zones
Super built-up  Area,Ready To Move,vittasandra,2 BHK,Prlla C,1404,2,1,71,Bommanahalli Zone
Super built-up  Area,Ready To Move,hoodi,3 BHK,SMaxyay,1715,2,2,95,Mahadevapura Zone
Built-up  Area,18-Apr,electronic city,1 BHK,Prarkun,630,1,1,34.65,Bommanahalli Zone
Super built-up  Area,Ready To Move,harlur,3 BHK,SosicCl,1752.12,3,2,135,Bommanahalli Zone
Super built-up  Area,Ready To Move,hulimavu,3 BHK,,1650,3,2,78,Bommanahalli Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,GrrvaGr,1295,2,1,55.47,Rajarajeshwari Nagar Zone
Plot  Area,Ready To Move,giri nagar,3 Bedroom,Bancyri,1800,3,2,252,South Zone
Super built-up  Area,18-Sep,sarjapur road,2 BHK,PualeSk,1346,2,1,74.03,Bommanahalli Zone
Plot  Area,Ready To Move,thippasandra,4 Bedroom,,1200,4,2,200,East Zone
Super built-up  Area,Ready To Move,hormavu,2 BHK,ElavuHo,1150,2,2,55,Mahadevapura Zone
Built-up  Area,Ready To Move,chikkabidarakallu,4 Bedroom,Gontyol,3309,4,3,325,Dasarahalli Zone
Super built-up  Area,18-May,chandapura,3 BHK,SunceEs,1190,2,2,30.35,Outside BBMP Zones
Super built-up  Area,Ready To Move,aecs layout,3 BHK,DSutyng,1620,3,2,98,Mahadevapura Zone
Super built-up  Area,18-Apr,marathahalli,2 BHK,,950,2,1,46.96,Mahadevapura Zone
Super built-up  Area,Ready To Move,1 giri nagar,11 BHK,Bancyri,5000,9,3,360,Unknown
Super built-up  Area,Ready To Move,harlur,3 BHK,SrEndPo,2450,3,0,120,Bommanahalli Zone
Super built-up  Area,18-May,electronic city phase ii,3 BHK,Sryalan,1220,2,1,35.23,Bommanahalli Zone
Super built-up  Area,Ready To Move,hoysalanagar,2 BHK,RKntsrt,850,2,1,30,East Zone
Built-up  Area,Ready To Move,padmanabhanagar,2 BHK,,1020,2,2,63,South Zone
Built-up  Area,Ready To Move,chikkalasandra,2 BHK,,1100,2,2,50,South Zone
Super built-up  Area,Ready To Move,defence colony,2 BHK,Vantspa,1150,2,2,126,Outside BBMP Zones
Super built-up  Area,18-Dec,hebbal,3 BHK,Mahosya,1760,2,2,130,Yelahanka Zone
Super built-up  Area,Ready To Move,ambalipura,3 BHK,,1800,3,3,110,Mahadevapura Zone
Super built-up  Area,Ready To Move,akshaya nagar,2 BHK,,1070,2,1,54,Bommanahalli Zone
Plot  Area,Ready To Move,2nd stage nagarbhavi,4 Bedroom,,1500,4,2,220,Unknown
Plot  Area,Ready To Move,vidyaranyapura,2 Bedroom,,1440,2,0,95,Yelahanka Zone
Super built-up  Area,Ready To Move,amruthahalli,2 BHK,Prowsi,900,2,1,40,Yelahanka Zone
Built-up  Area,Ready To Move,iti employees layout,4 BHK,,1200,4,1,230,Unknown
Super built-up  Area,18-May,whitefield,2 BHK,SMuilan,1130,2,1,42.16,Mahadevapura Zone
Super built-up  Area,Ready To Move,koramangala,2 BHK,Proodt,1320,2,1,165,East Zone
Super built-up  Area,19-Jun,kodigehalli,2 BHK,,1270,2,1,98,Yelahanka Zone
Built-up  Area,Ready To Move,patelappa layout,2 BHK,Sryamar,1200,2,1,62,Unknown
Super built-up  Area,Ready To Move,ring road nagarbhavi,4 BHK,,4800,4,,235,West Zone
Super built-up  Area,Ready To Move,ns palya,2 BHK,,1200,2,1,74,Bommanahalli Zone
Super built-up  Area,Ready To Move,subramanyapura,2 BHK,Prldsri,929,2,0,50.17,South Zone
Built-up  Area,Ready To Move,rmv 2nd stage,4 BHK,LiaveEn,1150,4,2,260,Unknown
Plot  Area,Ready To Move,basavangudi,4 Bedroom,,1125,4,3,180,South Zone
Plot  Area,Ready To Move,kenchenahalli,5 Bedroom,,500,3,2,65,Rajarajeshwari Nagar Zone
Plot  Area,Ready To Move,3rd block hrbr layout,5 Bedroom,Bemesrm,1200,5,2,190,Unknown
Super built-up  Area,Ready To Move,kudlu main road,3 BHK,,1464,3,2,56,Bommanahalli Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,4 BHK,,3600,4,3,400,Unknown
Plot  Area,Ready To Move,bank avenue,4 Bedroom,,2000,4,2,99,South Zone
Super built-up  Area,Ready To Move,chikkalasandra,2 BHK,,1208,2,1,49,South Zone
Super built-up  Area,Ready To Move,hebbal kempapura,2 BHK,Vrensn,1130,2,2,60,Yelahanka Zone
Super built-up  Area,Ready To Move,surabhi layout,3 BHK,VDdonel,1753,3,2,120,West Zone
Super built-up  Area,Ready To Move,old madras road,5 BHK,Brica E,4500,7,3,337,East Zone
Plot  Area,Ready To Move,banjara layout,3 Bedroom,,600,3,2,58,Yelahanka Zone
Super built-up  Area,22-Jun,hoodi,2 BHK,GoAirej,1196,2,2,94.42,Mahadevapura Zone
Built-up  Area,Ready To Move,5th phase jp nagar,2 BHK,Prenty,1150,3,3,52.5,Unknown
Super built-up  Area,18-Apr,electronic city,2 BHK,Prarkun,1128,2,1,63,Bommanahalli Zone
Super built-up  Area,Ready To Move,omkar nagar,2 BHK,Shinei,1000,2,1,53,West Zone
Super built-up  Area,Ready To Move,yelahanka,2 BHK,Apows M,1035,2,1,45,Yelahanka Zone
Built-up  Area,Ready To Move,kereguddadahalli,2 BHK,,950,2,1,32,Dasarahalli Zone
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,Prityel,1075,2,1,36,Outside BBMP Zones
Super built-up  Area,Ready To Move,whitefield,2 BHK,SVineun,1040,2,1,48.5,Mahadevapura Zone
Plot  Area,17-Oct,maragondanahalli,2 Bedroom,,720,2,1,45,Mahadevapura Zone
Super built-up  Area,Ready To Move,lingadheeranahalli,3 BHK,Soiewre,1511,3,1,95,Bommanahalli Zone
Built-up  Area,Ready To Move,silk board,3 BHK,,1300,3,1,58,Bommanahalli Zone
Super built-up  Area,19-Dec,hoodi,3 BHK,Caycend,1545,3,1,68.75,Mahadevapura Zone
Built-up  Area,Ready To Move,shampura,1 BHK,,375,2,0,26,Yelahanka Zone
Super built-up  Area,Ready To Move,vidyaranyapura,2 BHK,,1062,2,3,38,Yelahanka Zone
Super built-up  Area,Ready To Move,kada agrahara,2 BHK,,1115,2,1,40,Outside BBMP Zones
Super built-up  Area,Ready To Move,jp nagar,2 BHK,DSvvyx,1000,2,1,35,South Zone
Super built-up  Area,17-May,kambipura,2 BHK,Prrtht,883,2,1,45,Rajarajeshwari Nagar Zone
Super built-up  Area,19-Apr,sarjapur road,2 BHK,Brareio,1195,2,1,70,Bommanahalli Zone
Plot  Area,Ready To Move,bhel layout,4 Bedroom,,1200,3,1,165,Rajarajeshwari Nagar Zone
Built-up  Area,Ready To Move,medahalli,1 Bedroom,,700,1,0,41,Mahadevapura Zone
Super built-up  Area,Ready To Move,vittasandra,2 BHK,Prlla C,1246,2,1,67,Bommanahalli Zone
Plot  Area,Ready To Move,8th phase jp nagar,4 Bedroom,,660,4,2,90,Unknown
Plot  Area,Ready To Move,banashankari stage iii,4 Bedroom,,8500,4,2,145,South Zone
Super built-up  Area,Ready To Move,kashi nagar,4 BHK,,1600,4,1,80,South Zone
Super built-up  Area,18-Dec,haralur road,4 BHK,SNnia E,2805,5,3,154,Bommanahalli Zone
Super built-up  Area,Ready To Move,begur road,3 BHK,,1584,3,,65,Bommanahalli Zone
Plot  Area,Ready To Move,sector 7 hsr layout,4 Bedroom,,3000,5,1,275,Unknown
Built-up  Area,Ready To Move,hosur road,3 BHK,,1175,2,2,48,Bommanahalli Zone
Built-up  Area,19-Jul,yemlur old airport road,3 BHK,,1595,3,2,115,Mahadevapura Zone
Super built-up  Area,Ready To Move,vhbcs layout,2 BHK,OlarkLa,1353,2,2,110,Outside BBMP Zones
Super built-up  Area,18-Apr,electronic city,3 BHK,Prarkun,1599,3,2,125,Bommanahalli Zone
Super built-up  Area,Ready To Move,whitefield,2 BHK,SuMTBPr,1150,2,1,70,Mahadevapura Zone
Super built-up  Area,17-Dec,jakkur,4 BHK,Lecco C,5230,6,1,465,Yelahanka Zone
Super built-up  Area,Ready To Move,kr puram,2 BHK,Jahidva,1155,2,2,42.74,Mahadevapura Zone
Built-up  Area,Ready To Move,ittamadu,1 BHK,,1200,2,0,85,South Zone
