area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name,bhk,price_per_sqft
Plot  Area,Ready To Move,sundara nagar,2 Bedroom,Unknown,900.0,2.0,1.0,110.0,Unknown,2,12222.222222222223
Super built-up  Area,Ready To Move,kogilu,3 BHK,Unknown,1664.0,2.0,3.0,73.95,Yelahanka Zone,3,4444.110576923077
Super built-up  Area,Ready To Move,hegde nagar,3 BHK,SoitaCa,2026.0,3.0,2.0,132.0,Yelahanka Zone,3,6515.301085883514
Super built-up  Area,Ready To Move,balagere,2 BHK,Soestin,1210.0,2.0,1.0,80.9,Mahadevapura Zone,2,6685.950413223141
Plot  Area,Ready To Move,meenakunte,4 Bedroom,Sreat R,4111.0,4.0,2.0,250.0,Outside BBMP Zones,4,6081.24543906592
Super built-up  Area,Ready To Move,kadugodi,3 BHK,Alestrb,1762.0,3.0,3.0,91.45,Mahadevapura Zone,3,5190.124858115778
Super built-up  Area,Ready To Move,jigani,3 BHK,DLhtsen,1252.0,3.0,3.0,55.0,Outside BBMP Zones,3,4392.97124600639
Built-up  Area,Ready To Move,gollarapalya hosahalli,2 BHK,Mauner,861.0,2.0,1.0,34.5,West Zone,2,4006.968641114983
Built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Brnia G,1420.0,2.0,1.0,100.0,Unknown,3,7042.2535211267605
Built-up  Area,Ready To Move,electronics city phase 1,3 BHK,GaicaVe,1490.0,3.0,1.0,78.8,Unknown,3,5288.5906040268455
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,Unknown,1075.0,2.0,1.0,46.0,Outside BBMP Zones,3,4279.069767441861
Built-up  Area,Ready To Move,kalena agrahara,2 BHK,Nae 2El,1200.0,2.0,1.0,40.0,Bommanahalli Zone,2,3333.3333333333335
Super built-up  Area,Ready To Move,kaggadasapura,3 BHK,Unknown,1280.0,2.0,2.0,56.0,Mahadevapura Zone,3,4375.0
Super built-up  Area,Ready To Move,silver springs layout,2 BHK,Bhinglv,1084.0,2.0,2.0,50.0,Outside BBMP Zones,2,4612.546125461255
Super built-up  Area,Ready To Move,haralur road,2 BHK,Unknown,1027.0,2.0,2.0,44.0,Bommanahalli Zone,2,4284.323271665044
Super built-up  Area,Ready To Move,electronic city phase ii,2 BHK,Coush W,1069.0,2.0,2.0,45.0,Bommanahalli Zone,2,4209.541627689429
Super built-up  Area,Ready To Move,hebbal,2 BHK,Prersis,1349.0,2.0,1.0,98.2,Yelahanka Zone,2,7279.466271312083
Super built-up  Area,Ready To Move,9th phase jp nagar,2 BHK,NaensGa,1005.0,2.0,1.0,50.0,Unknown,2,4975.124378109453
Super built-up  Area,Ready To Move,jakkur,2 BHK,Arzzo P,1417.0,2.0,3.0,75.0,Yelahanka Zone,2,5292.87226534933
Carpet  Area,Ready To Move,maruthi sevanagar,2 BHK,SMikaay,950.0,2.0,2.0,47.0,East Zone,2,4947.368421052632
Super built-up  Area,Ready To Move,rmv 2nd stage,4 BHK,Prave E,2000.0,4.0,0.0,120.0,Unknown,4,6000.0
Super built-up  Area,Ready To Move,sarjapur road,4 BHK,Ahriaup,1863.0,3.0,2.0,104.0,Bommanahalli Zone,4,5582.393988191089
Super built-up  Area,Ready To Move,singasandra,2 BHK,Priewhi,1010.0,2.0,1.0,29.5,Bommanahalli Zone,2,2920.792079207921
Super built-up  Area,Ready To Move,kalena agrahara,3 BHK,Shodsth,1425.0,2.0,1.0,70.0,Bommanahalli Zone,3,4912.2807017543855
Super built-up  Area,Ready To Move,vijayanagar,3 BHK,Swadeh,1450.0,3.0,0.0,100.0,West Zone,3,6896.551724137931
Super built-up  Area,Ready To Move,kothanur,3 BHK,Somumys,1847.0,3.0,2.0,105.0,Yelahanka Zone,3,5684.89442338928
Super built-up  Area,Ready To Move,aecs layout,2 BHK,Soran U,1100.0,2.0,3.0,45.0,Mahadevapura Zone,2,4090.909090909091
Super built-up  Area,Ready To Move,mallasandra,3 BHK,Puestig,1665.0,3.0,2.0,95.0,Dasarahalli Zone,3,5705.705705705705
Super built-up  Area,Ready To Move,begur,4 BHK,Prntsrt,1664.0,4.0,3.0,65.0,Bommanahalli Zone,4,3906.25
Super built-up  Area,Ready To Move,jp nagar,3 BHK,Maerar,1850.0,3.0,3.0,150.0,South Zone,3,8108.108108108108
Super built-up  Area,Ready To Move,panathur,2 BHK,Vaesh T,1438.0,2.0,3.0,100.0,Mahadevapura Zone,2,6954.102920723227
Super built-up  Area,Ready To Move,sunder ram shetty nagar,3 BHK,MaisePa,1560.0,3.0,3.0,115.0,South Zone,3,7371.794871794872
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,JRrnauv,1550.0,3.0,3.0,67.0,South Zone,3,4322.580645161291
Super built-up  Area,Ready To Move,whitefield,2 BHK,Gotis A,1280.0,2.0,2.0,75.0,Mahadevapura Zone,2,5859.375
Built-up  Area,Ready To Move,munnekollal,2 BHK,Unknown,1170.0,2.0,2.0,52.0,Mahadevapura Zone,2,4444.444444444444
Super built-up  Area,Ready To Move,motappa layout,2 BHK,Puodse,1113.0,2.0,1.0,51.0,Outside BBMP Zones,2,4582.210242587601
Super built-up  Area,Ready To Move,hennur road,2 BHK,Mileeou,1385.0,2.0,1.0,83.09,Yelahanka Zone,2,5999.27797833935
Plot  Area,Ready To Move,marathahalli,2 Bedroom,Unknown,1200.0,2.0,2.0,128.0,Mahadevapura Zone,2,10666.666666666666
Plot  Area,Ready To Move,akshaya vana,4 Bedroom,Unknown,1200.0,4.0,3.0,165.0,Bommanahalli Zone,4,13750.0
Super built-up  Area,Ready To Move,rajaji nagar,3 BHK,PhestOn,2390.0,3.0,2.0,415.0,West Zone,3,17364.016736401674
Plot  Area,Ready To Move,giri nagar,4 Bedroom,Unknown,2400.0,4.0,1.0,400.0,South Zone,4,16666.666666666668
Super built-up  Area,Ready To Move,haralur road,3 BHK,NRowse,1464.0,3.0,2.0,56.0,Bommanahalli Zone,3,3825.136612021858
Super built-up  Area,Ready To Move,manayata tech park,2 BHK,Unknown,1200.0,2.0,2.0,55.0,Yelahanka Zone,2,4583.333333333333
Super built-up  Area,Ready To Move,kaval byrasandra,2 BHK,Abncy R,1200.0,2.0,2.0,52.0,East Zone,2,4333.333333333333
Super built-up  Area,Ready To Move,kaggalipura,3 BHK,Baowsig,1150.0,2.0,1.0,55.0,Outside BBMP Zones,3,4782.608695652174
Built-up  Area,Ready To Move,basavanna nagar,3 BHK,Itala A,1645.0,3.0,2.0,95.0,Mahadevapura Zone,3,5775.075987841945
Plot  Area,Ready To Move,haralur road,4 Bedroom,Unknown,2650.0,4.0,2.0,198.0,Bommanahalli Zone,4,7471.698113207547
Super built-up  Area,Ready To Move,6th phase jp nagar,2 BHK,HMinebo,1192.0,2.0,2.0,74.0,Unknown,2,6208.053691275168
Super built-up  Area,Ready To Move,ulsoor,3 BHK,K borja,2135.0,3.0,2.0,215.0,East Zone,3,10070.257611241217
Built-up  Area,Ready To Move,uttarahalli,2 BHK,Sungspr,1020.0,2.0,2.0,45.0,South Zone,2,4411.764705882353
Super built-up  Area,Ready To Move,thigalarapalya,4 BHK,Prtanha,3122.0,6.0,2.0,230.0,Mahadevapura Zone,4,7367.072389493914
Super built-up  Area,Ready To Move,somasundara palya,3 BHK,Unknown,1600.0,3.0,3.0,64.0,Bommanahalli Zone,3,4000.0
Carpet  Area,Ready To Move,muneshwara nagar,2 BHK,Unknown,1230.0,2.0,3.0,48.0,East Zone,2,3902.439024390244
Super built-up  Area,Ready To Move,devarachikkanahalli,2 BHK,Clntsrt,1250.0,2.0,2.0,40.0,Bommanahalli Zone,2,3200.0
Super built-up  Area,Ready To Move,kalena agrahara,2 BHK,PuamaPa,1325.0,2.0,2.0,76.0,Bommanahalli Zone,2,5735.8490566037735
Built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Brngsal,1850.0,3.0,1.0,150.0,Unknown,3,8108.108108108108
Super built-up  Area,Ready To Move,basaveshwara nagar,2 BHK,Unknown,1200.0,2.0,2.0,65.0,West Zone,2,5416.666666666667
Plot  Area,Ready To Move,bull temple road,3 Bedroom,Unknown,1350.0,2.0,0.0,140.0,South Zone,3,10370.37037037037
Super built-up  Area,Ready To Move,prashanth nagar,3 BHK,Vancy R,1800.0,3.0,0.0,150.0,West Zone,3,8333.333333333334
Built-up  Area,Ready To Move,ardendale,2 BHK,Miwel M,1100.0,2.0,1.0,43.25,Outside BBMP Zones,2,3931.818181818182
Super built-up  Area,Ready To Move,harlur,2 BHK,SrEndPo,1508.0,2.0,1.0,77.0,Bommanahalli Zone,2,5106.100795755968
Carpet  Area,Ready To Move,sampigehalli,3 BHK,Puens G,1592.0,3.0,2.0,75.0,Yelahanka Zone,3,4711.05527638191
Super built-up  Area,Ready To Move,akshaya nagar,2 BHK,SagasSa,1388.0,2.0,3.0,57.0,Bommanahalli Zone,2,4106.628242074928
Plot  Area,Ready To Move,rmv,3 Bedroom,Unknown,2000.0,3.0,2.0,365.0,West Zone,3,18250.0
Super built-up  Area,Ready To Move,banashankari3rd stage bigbazar,3 BHK,Unknown,1762.0,3.0,1.0,125.0,Unknown,3,7094.211123723042
Super built-up  Area,Ready To Move,kodihalli,4 BHK,Soianal,3252.0,5.0,3.0,335.0,East Zone,4,10301.353013530135
Super built-up  Area,Ready To Move,narayanapura,2 BHK,AriosHe,1308.0,2.0,2.0,89.04,Yelahanka Zone,2,6807.339449541284
Super built-up  Area,Ready To Move,ms pallya,3 BHK,Unknown,1200.0,3.0,0.0,90.0,Yelahanka Zone,3,7500.0
Plot  Area,Ready To Move,binny mills employees colony,4 Bedroom,Unknown,1500.0,4.0,2.0,230.0,West Zone,4,15333.333333333334
Built-up  Area,Ready To Move,bannerghatta road,1 BHK,Unknown,500.0,1.0,1.0,18.5,South Zone,1,3700.0
Super built-up  Area,Ready To Move,hennur,2 BHK,SLureSi,1075.0,2.0,1.0,52.0,Yelahanka Zone,2,4837.209302325581
Built-up  Area,Ready To Move,bellandur,2 BHK,Unknown,1205.0,2.0,3.0,66.0,Mahadevapura Zone,2,5477.178423236514
Super built-up  Area,Ready To Move,5th phase jp nagar,2 BHK,Mangsr,1075.0,2.0,2.0,60.0,Unknown,2,5581.395348837209
Built-up  Area,Ready To Move,kr puram,2 BHK,HovasTe,930.0,2.0,2.0,39.0,Mahadevapura Zone,2,4193.548387096775
Super built-up  Area,Ready To Move,balagere,2 BHK,Exncene,1380.0,2.0,1.0,60.0,Mahadevapura Zone,2,4347.826086956522
Super built-up  Area,Ready To Move,hebbal,4 BHK,Prersis,2483.0,5.0,2.0,212.0,Yelahanka Zone,4,8538.058799838904
Built-up  Area,Ready To Move,kodigehaali,2 BHK,Shyas S,1166.0,2.0,2.0,55.0,Yelahanka Zone,2,4716.981132075472
Super built-up  Area,Ready To Move,bannerghatta road,2 BHK,NadelCi,1050.0,2.0,1.0,65.0,South Zone,2,6190.476190476191
Super built-up  Area,Ready To Move,begur road,2 BHK,Dhalsh,1200.0,2.0,2.0,46.8,Bommanahalli Zone,2,3900.0
Super built-up  Area,Ready To Move,lakshminarayana pura,3 BHK,Puarent,1600.0,2.0,1.0,108.0,West Zone,3,6750.0
Super built-up  Area,Ready To Move,billekahalli,3 BHK,MaionPa,1935.0,3.0,2.0,110.0,Bommanahalli Zone,3,5684.754521963824
Super built-up  Area,Ready To Move,electronic city,3 BHK,ShstaAl,1800.0,3.0,2.0,95.0,Bommanahalli Zone,3,5277.777777777777
Super built-up  Area,Ready To Move,hegde nagar,3 BHK,SoitaCa,1801.0,3.0,2.0,115.0,Yelahanka Zone,3,6385.341476957246
Built-up  Area,Ready To Move,mahadevpura,2 BHK,Neagar,1451.0,2.0,2.0,90.0,Mahadevapura Zone,2,6202.618883528601
Super built-up  Area,Ready To Move,begur road,2 BHK,Dhalsh,1160.0,2.0,2.0,44.0,Bommanahalli Zone,2,3793.103448275862
Super built-up  Area,Ready To Move,kanakpura road,2 BHK,Wiowsri,950.0,2.0,1.0,40.0,South Zone,2,4210.526315789473
Built-up  Area,Ready To Move,vijayanagar,3 BHK,Unknown,1580.0,2.0,0.0,134.0,West Zone,3,8481.012658227848
Built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,Eladero,1245.0,2.0,1.0,94.0,Unknown,2,7550.2008032128515
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,Lancyey,1145.0,2.0,2.0,45.79,Rajarajeshwari Nagar Zone,2,3999.126637554585
Super built-up  Area,Ready To Move,sompura,2 BHK,Suiseit,825.0,2.0,1.0,33.0,Outside BBMP Zones,2,4000.0
Super built-up  Area,Ready To Move,electronics city phase 1,2 BHK,Courf T,1113.27,2.0,2.0,53.0,Unknown,2,4760.74986301616
Built-up  Area,Ready To Move,ashirvad colony,2 BHK,VMowsea,1460.0,2.0,1.0,58.0,Outside BBMP Zones,2,3972.6027397260273
Built-up  Area,Ready To Move,doddathoguru,2 BHK,S onsMa,1050.0,2.0,1.0,32.0,Bommanahalli Zone,2,3047.6190476190477
Built-up  Area,Ready To Move,dodda nekkundi,2 BHK,Tuentpa,1260.0,2.0,2.0,55.0,Mahadevapura Zone,2,4365.079365079365
Built-up  Area,Ready To Move,hosur road,2 BHK,Tovesee,1656.0,2.0,1.0,120.0,Bommanahalli Zone,2,7246.376811594203
Super built-up  Area,Ready To Move,chandapura,3 BHK,Vailsaf,1208.0,3.0,1.0,45.0,Outside BBMP Zones,3,3725.1655629139073
Super built-up  Area,Ready To Move,whitefield,3 BHK,BrlisCo,1910.0,3.0,2.0,161.0,Mahadevapura Zone,3,8429.319371727748
Super built-up  Area,Ready To Move,whitefield,4 BHK,Haestt,3252.0,4.0,1.0,230.0,Mahadevapura Zone,4,7072.570725707257
Plot  Area,Ready To Move,battarahalli,2 Bedroom,Unknown,1200.0,2.0,1.0,65.0,Mahadevapura Zone,2,5416.666666666667
Super built-up  Area,Ready To Move,gokula extension,4 BHK,Unknown,1200.0,4.0,1.0,175.0,West Zone,4,14583.333333333334
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,BriumMi,1175.0,2.0,1.0,82.0,Unknown,2,6978.723404255319
Plot  Area,Ready To Move,kamakshipalya,2 Bedroom,Unknown,1000.0,2.0,0.0,165.0,West Zone,2,16500.0
Plot  Area,Ready To Move,bannerghatta road,4 Bedroom,Unknown,1200.0,2.0,0.0,125.0,South Zone,4,10416.666666666666
Super built-up  Area,Ready To Move,rajaji nagar,3 BHK,PhestOn,2390.0,3.0,2.0,410.0,West Zone,3,17154.81171548117
Super built-up  Area,Ready To Move,sanne amanikere,2 BHK,Hoxiaa,1185.0,2.0,2.0,38.0,Outside BBMP Zones,2,3206.7510548523205
Super built-up  Area,Ready To Move,kengeri,2 BHK,VBvenal,750.0,2.0,1.0,38.0,Rajarajeshwari Nagar Zone,2,5066.666666666667
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,JRrnauv,1550.0,3.0,3.0,64.5,South Zone,3,4161.290322580645
Built-up  Area,Ready To Move,amco colony,3 BHK,Hoeatan,1760.0,3.0,2.0,88.0,Yelahanka Zone,3,5000.0
Super built-up  Area,Ready To Move,billekahalli,2 BHK,Asity S,1125.0,2.0,2.0,62.0,Bommanahalli Zone,2,5511.111111111111
Plot  Area,Ready To Move,nagarbhavi,3 Bedroom,Unknown,1350.0,3.0,2.0,150.0,West Zone,3,11111.111111111111
Plot  Area,Ready To Move,tc palaya,2 Bedroom,Unknown,1200.0,2.0,0.0,60.0,Mahadevapura Zone,2,5000.0
Super built-up  Area,Ready To Move,budigere,3 BHK,PrityTr,1991.0,4.0,2.0,103.0,Outside BBMP Zones,3,5173.279758915118
Super built-up  Area,Ready To Move,ambalipura,2 BHK,SJarkte,1105.0,2.0,1.0,75.0,Mahadevapura Zone,2,6787.330316742082
Built-up  Area,Ready To Move,hoodi,2 BHK,Dhgraas,985.0,2.0,2.0,67.0,Mahadevapura Zone,2,6802.030456852792
Super built-up  Area,Ready To Move,cv raman nagar,2 BHK,Srshq T,1120.0,2.0,2.0,55.0,East Zone,2,4910.714285714285
Super built-up  Area,Ready To Move,samethanahalli,2 BHK,SPontna,1069.0,2.0,1.0,55.0,Mahadevapura Zone,2,5144.9953227315245
Super built-up  Area,Ready To Move,marathahalli,3 BHK,Prionad,1933.0,3.0,2.0,140.0,Mahadevapura Zone,3,7242.628039317124
Super built-up  Area,Ready To Move,brookefield,2 BHK,Danna S,1150.0,2.0,3.0,69.0,Mahadevapura Zone,2,6000.0
Super built-up  Area,Ready To Move,yelenahalli,2 BHK,Unknown,1240.0,2.0,2.0,47.12,Bommanahalli Zone,2,3800.0
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,GrrvaGr,1419.0,2.0,2.0,48.1,Rajarajeshwari Nagar Zone,2,3389.7110641296686
Super built-up  Area,Ready To Move,richmond town,3 BHK,Bltonin,2150.0,4.0,2.0,240.0,East Zone,3,11162.790697674418
Super built-up  Area,Ready To Move,suddaguntepalya,3 BHK,MSanaer,1450.0,3.0,2.0,55.0,South Zone,3,3793.103448275862
Super built-up  Area,Ready To Move,dasanapura,2 BHK,Tavenew,708.0,1.0,1.0,40.0,Dasarahalli Zone,2,5649.717514124294
Plot  Area,Ready To Move,kasavanhalli,3 Bedroom,Unknown,1000.0,4.0,3.0,110.0,Mahadevapura Zone,3,11000.0
Plot  Area,Ready To Move,whitefield,4 Bedroom,Unknown,11890.0,4.0,3.0,700.0,Mahadevapura Zone,4,5887.300252312868
Super built-up  Area,Ready To Move,bellandur,2 BHK,Ocavees,1250.0,2.0,1.0,76.0,Mahadevapura Zone,2,6080.0
Super built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Brnia G,1400.0,2.0,1.0,95.0,Unknown,3,6785.714285714285
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Unknown,1670.0,2.0,3.0,57.0,Bommanahalli Zone,3,3413.1736526946106
Super built-up  Area,Ready To Move,ardendale,3 BHK,SoystAm,1750.0,3.0,2.0,100.0,Outside BBMP Zones,3,5714.285714285715
Super built-up  Area,Ready To Move,vittasandra,2 BHK,Prlla C,1404.0,2.0,1.0,71.0,Bommanahalli Zone,2,5056.980056980057
Super built-up  Area,Ready To Move,hoodi,3 BHK,SMaxyay,1715.0,2.0,2.0,95.0,Mahadevapura Zone,3,5539.35860058309
Super built-up  Area,Ready To Move,harlur,3 BHK,SosicCl,1752.12,3.0,2.0,135.0,Bommanahalli Zone,3,7704.951715635916
Super built-up  Area,Ready To Move,hulimavu,3 BHK,Unknown,1650.0,3.0,2.0,78.0,Bommanahalli Zone,3,4727.272727272727
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,GrrvaGr,1295.0,2.0,1.0,55.47,Rajarajeshwari Nagar Zone,2,4283.397683397683
Plot  Area,Ready To Move,giri nagar,3 Bedroom,Bancyri,1800.0,3.0,2.0,252.0,South Zone,3,14000.0
Plot  Area,Ready To Move,thippasandra,4 Bedroom,Unknown,1200.0,4.0,2.0,200.0,East Zone,4,16666.666666666668
Super built-up  Area,Ready To Move,hormavu,2 BHK,ElavuHo,1150.0,2.0,2.0,55.0,Mahadevapura Zone,2,4782.608695652174
Built-up  Area,Ready To Move,chikkabidarakallu,4 Bedroom,Gontyol,3309.0,4.0,3.0,325.0,Dasarahalli Zone,4,9821.698398307646
Super built-up  Area,Ready To Move,aecs layout,3 BHK,DSutyng,1620.0,3.0,2.0,98.0,Mahadevapura Zone,3,6049.382716049383
Super built-up  Area,Ready To Move,1 giri nagar,11 BHK,Bancyri,5000.0,9.0,3.0,360.0,Unknown,11,7200.0
Super built-up  Area,Ready To Move,harlur,3 BHK,SrEndPo,2450.0,3.0,0.0,120.0,Bommanahalli Zone,3,4897.959183673469
Super built-up  Area,Ready To Move,hoysalanagar,2 BHK,RKntsrt,850.0,2.0,1.0,30.0,East Zone,2,3529.4117647058824
Built-up  Area,Ready To Move,padmanabhanagar,2 BHK,Unknown,1020.0,2.0,2.0,63.0,South Zone,2,6176.470588235294
Built-up  Area,Ready To Move,chikkalasandra,2 BHK,Unknown,1100.0,2.0,2.0,50.0,South Zone,2,4545.454545454545
Super built-up  Area,Ready To Move,defence colony,2 BHK,Vantspa,1150.0,2.0,2.0,126.0,Outside BBMP Zones,2,10956.521739130434
Super built-up  Area,Ready To Move,ambalipura,3 BHK,Unknown,1800.0,3.0,3.0,110.0,Mahadevapura Zone,3,6111.111111111111
Super built-up  Area,Ready To Move,akshaya nagar,2 BHK,Unknown,1070.0,2.0,1.0,54.0,Bommanahalli Zone,2,5046.728971962617
Plot  Area,Ready To Move,2nd stage nagarbhavi,4 Bedroom,Unknown,1500.0,4.0,2.0,220.0,Unknown,4,14666.666666666666
Plot  Area,Ready To Move,vidyaranyapura,2 Bedroom,Unknown,1440.0,2.0,0.0,95.0,Yelahanka Zone,2,6597.222222222223
Super built-up  Area,Ready To Move,amruthahalli,2 BHK,Prowsi,900.0,2.0,1.0,40.0,Yelahanka Zone,2,4444.444444444444
Built-up  Area,Ready To Move,iti employees layout,4 BHK,Unknown,1200.0,4.0,1.0,230.0,Unknown,4,19166.666666666668
Super built-up  Area,Ready To Move,koramangala,2 BHK,Proodt,1320.0,2.0,1.0,165.0,East Zone,2,12500.0
Built-up  Area,Ready To Move,patelappa layout,2 BHK,Sryamar,1200.0,2.0,1.0,62.0,Unknown,2,5166.666666666667
Super built-up  Area,Ready To Move,ring road nagarbhavi,4 BHK,Unknown,4800.0,4.0,2.0,235.0,West Zone,4,4895.833333333333
Super built-up  Area,Ready To Move,ns palya,2 BHK,Unknown,1200.0,2.0,1.0,74.0,Bommanahalli Zone,2,6166.666666666667
Super built-up  Area,Ready To Move,subramanyapura,2 BHK,Prldsri,929.0,2.0,0.0,50.17,South Zone,2,5400.4305705059205
Super built-up  Area,Ready To Move,kudlu main road,3 BHK,Unknown,1464.0,3.0,2.0,56.0,Bommanahalli Zone,3,3825.136612021858
Super built-up  Area,Ready To Move,7th phase jp nagar,4 BHK,Unknown,3600.0,4.0,3.0,400.0,Unknown,4,11111.111111111111
Plot  Area,Ready To Move,bank avenue,4 Bedroom,Unknown,2000.0,4.0,2.0,99.0,South Zone,4,4950.0
Super built-up  Area,Ready To Move,chikkalasandra,2 BHK,Unknown,1208.0,2.0,1.0,49.0,South Zone,2,4056.291390728477
Super built-up  Area,Ready To Move,hebbal kempapura,2 BHK,Vrensn,1130.0,2.0,2.0,60.0,Yelahanka Zone,2,5309.734513274337
Super built-up  Area,Ready To Move,surabhi layout,3 BHK,VDdonel,1753.0,3.0,2.0,120.0,West Zone,3,6845.407872219053
Super built-up  Area,Ready To Move,old madras road,5 BHK,Brica E,4500.0,7.0,3.0,337.0,East Zone,5,7488.888888888889
Built-up  Area,Ready To Move,5th phase jp nagar,2 BHK,Prenty,1150.0,3.0,3.0,52.5,Unknown,2,4565.217391304348
Super built-up  Area,Ready To Move,omkar nagar,2 BHK,Shinei,1000.0,2.0,1.0,53.0,West Zone,2,5300.0
Super built-up  Area,Ready To Move,yelahanka,2 BHK,Apows M,1035.0,2.0,1.0,45.0,Yelahanka Zone,2,4347.826086956522
Built-up  Area,Ready To Move,kereguddadahalli,2 BHK,Unknown,950.0,2.0,1.0,32.0,Dasarahalli Zone,2,3368.4210526315787
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,36.0,Outside BBMP Zones,3,3348.8372093023254
Super built-up  Area,Ready To Move,whitefield,2 BHK,SVineun,1040.0,2.0,1.0,48.5,Mahadevapura Zone,2,4663.461538461538
Super built-up  Area,Ready To Move,lingadheeranahalli,3 BHK,Soiewre,1511.0,3.0,1.0,95.0,Bommanahalli Zone,3,6287.22700198544
Built-up  Area,Ready To Move,silk board,3 BHK,Unknown,1300.0,3.0,1.0,58.0,Bommanahalli Zone,3,4461.538461538462
Built-up  Area,Ready To Move,shampura,1 BHK,Unknown,375.0,2.0,0.0,26.0,Yelahanka Zone,1,6933.333333333333
Super built-up  Area,Ready To Move,vidyaranyapura,2 BHK,Unknown,1062.0,2.0,3.0,38.0,Yelahanka Zone,2,3578.154425612053
Super built-up  Area,Ready To Move,kada agrahara,2 BHK,Unknown,1115.0,2.0,1.0,40.0,Outside BBMP Zones,2,3587.4439461883408
Super built-up  Area,Ready To Move,jp nagar,2 BHK,DSvvyx,1000.0,2.0,1.0,35.0,South Zone,2,3500.0
Plot  Area,Ready To Move,bhel layout,4 Bedroom,Unknown,1200.0,3.0,1.0,165.0,Rajarajeshwari Nagar Zone,4,13750.0
Built-up  Area,Ready To Move,medahalli,1 Bedroom,Unknown,700.0,1.0,0.0,41.0,Mahadevapura Zone,1,5857.142857142857
Super built-up  Area,Ready To Move,vittasandra,2 BHK,Prlla C,1246.0,2.0,1.0,67.0,Bommanahalli Zone,2,5377.2070626003215
Super built-up  Area,Ready To Move,kashi nagar,4 BHK,Unknown,1600.0,4.0,1.0,80.0,South Zone,4,5000.0
Super built-up  Area,Ready To Move,begur road,3 BHK,Unknown,1584.0,3.0,2.0,65.0,Bommanahalli Zone,3,4103.535353535353
Plot  Area,Ready To Move,sector 7 hsr layout,4 Bedroom,Unknown,3000.0,5.0,1.0,275.0,Unknown,4,9166.666666666666
Built-up  Area,Ready To Move,hosur road,3 BHK,Unknown,1175.0,2.0,2.0,48.0,Bommanahalli Zone,3,4085.1063829787236
Super built-up  Area,Ready To Move,vhbcs layout,2 BHK,OlarkLa,1353.0,2.0,2.0,110.0,Outside BBMP Zones,2,8130.081300813008
Super built-up  Area,Ready To Move,whitefield,2 BHK,SuMTBPr,1150.0,2.0,1.0,70.0,Mahadevapura Zone,2,6086.95652173913
Super built-up  Area,Ready To Move,kr puram,2 BHK,Jahidva,1155.0,2.0,2.0,42.74,Mahadevapura Zone,2,3700.4329004329006
Built-up  Area,Ready To Move,ittamadu,1 BHK,Unknown,1200.0,2.0,0.0,85.0,South Zone,1,7083.333333333333
Super built-up  Area,Ready To Move,thanisandra,4 BHK,Unknown,3000.0,4.0,2.0,120.0,Yelahanka Zone,4,4000.0
Built-up  Area,Ready To Move,rajiv nagar,3 BHK,PuoodSk,1867.0,3.0,1.0,160.0,Outside BBMP Zones,3,8569.89823245849
Super built-up  Area,Ready To Move,arekere,2 BHK,Amngsag,1222.0,2.0,2.0,45.0,Bommanahalli Zone,2,3682.4877250409168
Super built-up  Area,Ready To Move,bannerghatta road,3 BHK,SNity S,1170.0,2.0,1.0,66.0,South Zone,3,5641.025641025641
Super built-up  Area,Ready To Move,hebbal,3 BHK,Kacesh,2400.0,4.0,1.0,245.0,Yelahanka Zone,3,10208.333333333334
Super built-up  Area,Ready To Move,ramanjaneyanagar,3 BHK,Unknown,1385.0,2.0,2.0,48.48,South Zone,3,3500.361010830325
Super built-up  Area,Ready To Move,hsr layout,2 BHK,SrisePo,1372.0,2.0,1.0,68.0,Bommanahalli Zone,2,4956.268221574344
Super built-up  Area,Ready To Move,magadi road,3 BHK,Bilya A,1282.0,2.0,2.0,49.0,West Zone,3,3822.1528861154447
